Id,y
45324,1.0
45325,1.0
45326,1.0
45327,1.0
45328,1.0
45329,1.0
45330,1.0
45331,1.0
45332,1.0
45333,1.0
45334,1.0
45335,1.0
45336,1.0
45337,1.0
45338,1.0
45339,1.0
45340,1.0
45341,1.0
45342,1.0
45343,1.0
45344,1.0
45345,1.0
45346,1.0
45347,1.0
45348,1.0
45349,1.0
45350,1.0
45351,1.0
45352,1.0
45353,1.0
45354,1.0
45355,1.0
45356,1.0
45357,1.0
45358,1.0
45359,1.0
45360,1.0
45361,1.0
45362,1.0
45363,1.0
45364,1.0
45365,1.0
45366,1.0
45367,1.0
45368,1.0
45369,1.0
45370,1.0
45371,1.0
45372,1.0
45373,1.0
45374,1.0
45375,1.0
45376,1.0
45377,1.0
45378,1.0
45379,1.0
45380,1.0
45381,1.0
45382,1.0
45383,1.0
45384,1.0
45385,1.0
45386,1.0
45387,1.0
45388,1.0
45389,1.0
45390,1.0
45391,1.0
45392,1.0
45393,3.0
45394,1.0
45395,1.0
45396,1.0
45397,1.0
45398,3.0
45399,1.0
45400,1.0
45401,1.0
45402,1.0
45403,1.0
45404,1.0
45405,1.0
45406,1.0
45407,1.0
45408,1.0
45409,1.0
45410,1.0
45411,1.0
45412,1.0
45413,1.0
45414,1.0
45415,1.0
45416,1.0
45417,1.0
45418,1.0
45419,3.0
45420,1.0
45421,1.0
45422,1.0
45423,1.0
45424,1.0
45425,1.0
45426,1.0
45427,1.0
45428,1.0
45429,1.0
45430,1.0
45431,1.0
45432,1.0
45433,1.0
45434,3.0
45435,1.0
45436,1.0
45437,1.0
45438,1.0
45439,1.0
45440,1.0
45441,1.0
45442,1.0
45443,1.0
45444,1.0
45445,1.0
45446,1.0
45447,1.0
45448,1.0
45449,1.0
45450,1.0
45451,1.0
45452,1.0
45453,1.0
45454,1.0
45455,1.0
45456,1.0
45457,1.0
45458,1.0
45459,1.0
45460,1.0
45461,1.0
45462,1.0
45463,1.0
45464,1.0
45465,1.0
45466,1.0
45467,1.0
45468,1.0
45469,1.0
45470,1.0
45471,1.0
45472,1.0
45473,1.0
45474,1.0
45475,1.0
45476,1.0
45477,1.0
45478,1.0
45479,1.0
45480,1.0
45481,1.0
45482,1.0
45483,1.0
45484,1.0
45485,3.0
45486,3.0
45487,1.0
45488,1.0
45489,1.0
45490,1.0
45491,1.0
45492,1.0
45493,1.0
45494,1.0
45495,1.0
